            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000,  1.285448830612052E+08, -7.986345695704521E+07, -3.483711533773690E+03,  1.522773970118584E+01,  2.520063473434745E+01,  3.081972096445895E-04,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000,  1.298420348764958E+08, -7.767490967321840E+07, -3.450179346904159E+03,  1.479825790448037E+01,  2.545892085172685E+01,  4.774793476762795E-04,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000,  1.311019105739720E+08, -7.546437235918227E+07, -3.399707038890570E+03,  1.436490494036379E+01,  2.570967610129426E+01,  6.985675808142133E-04,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000,  1.323241850216188E+08, -7.323249184244601E+07, -3.328333337251097E+03,  1.392788960471663E+01,  2.595299473506674E+01,  9.588981234323057E-04,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000,  1.335085490704406E+08, -7.097990560524429E+07, -3.233337721873075E+03,  1.348737139472064E+01,  2.618899644627972E+01,  1.242477622369620E-03,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000,  1.346547049224513E+08, -6.870724027195221E+07, -3.113486550845206E+03,  1.304345272560039E+01,  2.641780974539641E+01,  1.531133218648506E-03,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000,  1.357623610875060E+08, -6.641511170218343E+07, -2.969149481851608E+03,  1.259617767512633E+01,  2.663955179934781E+01,  1.806243793442519E-03,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000,  1.368312275994648E+08, -6.410412686312966E+07, -2.802253379736096E+03,  1.214553945067905E+01,  2.685430814114248E+01,  2.050711874550970E-03,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000,  1.378610122563758E+08, -6.177488728787534E+07, -2.616070477809757E+03,  1.169149630863182E+01,  2.706211706600666E+01,  2.250748768936717E-03,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000,  1.388514184865544E+08, -5.942799352475233E+07, -2.414876861073077E+03,  1.123399246563094E+01,  2.726296277763082E+01,  2.397028040517668E-03,
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000,  1.398021450440620E+08, -5.706404974639352E+07, -2.203548372637480E+03,  1.077297860171829E+01,  2.745677843214292E+01,  2.484966010767309E-03,
2443387.500000000, A.D. 1977-Sep-01 00:00:00.0000,  1.407128872765628E+08, -5.468366774055181E+07, -1.987168444305658E+03,  1.030842712511233E+01,  2.764345679083411E+01,  2.514202252875464E-03,
2443388.500000000, A.D. 1977-Sep-02 00:00:00.0000,  1.415833393927082E+08, -5.228746980442833E+07, -1.770704519841820E+03,  9.840339920060211E+00,  2.782286418229786E+01,  2.487594807073279E-03,
2443389.500000000, A.D. 1977-Sep-03 00:00:00.0000,  1.424131970862311E+08, -4.987609044426984E+07, -1.558778485760093E+03,  9.368749140740965E+00,  2.799485360670396E+01,  2.410107612927703E-03,
2443390.500000000, A.D. 1977-Sep-04 00:00:00.0000,  1.432021600085686E+08, -4.745017708061445E+07, -1.355527008950710E+03,  8.893713364744443E+00,  2.815927437183137E+01,  2.287877885844836E-03,
2443391.500000000, A.D. 1977-Sep-05 00:00:00.0000,  1.439499338063904E+08, -4.501039010586976E+07, -1.164529072487727E+03,  8.415311788888911E+00,  2.831597743867901E+01,  2.127605157573598E-03,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000,  1.446562316541091E+08, -4.255740265265483E+07, -9.887713929042220E+02,  7.933638642960958E+00,  2.846481691095330E+01,  1.936280993923845E-03,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000,  1.453207753670695E+08, -4.009190036386930E+07, -8.306242186222225E+02,  7.448799249516199E+00,  2.860564870040031E+01,  1.721206675320275E-03,
