            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000,  1.227976487451390E+08,  7.518210576902237E+08, -5.842610886460900E+06, -1.306258719885187E+01,  2.716903022476491E+00,  2.813658696191041E-01,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000,  1.216689977655685E+08,  7.520549450721899E+08, -5.818293121103585E+06, -1.306433926555526E+01,  2.698027883137835E+00,  2.815646490611479E-01,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000,  1.205400563907676E+08,  7.522871572383276E+08, -5.793962170302153E+06, -1.306735126314336E+01,  2.676845320690878E+00,  2.816538157400359E-01,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000,  1.194109953115609E+08,  7.525176900861702E+08, -5.769616246629417E+06, -1.306971529136616E+01,  2.659780823847929E+00,  2.818969053692408E-01,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000,  1.182815924595897E+08,  7.527466146127207E+08, -5.745255818843961E+06, -1.307291682866970E+01,  2.639662702806005E+00,  2.820271265070194E-01,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000,  1.171519051540798E+08,  7.529739130901299E+08, -5.720880094376802E+06, -1.307798230335164E+01,  2.620818226177795E+00,  2.821758066965772E-01,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000,  1.160218824600337E+08,  7.531993954377154E+08, -5.696497078262925E+06, -1.307931657141174E+01,  2.599917437881583E+00,  2.822984354556415E-01,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000,  1.148916535728844E+08,  7.534232303935745E+08, -5.672099277860403E+06, -1.308342571808346E+01,  2.580315649790080E+00,  2.824253278888826E-01,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000,  1.137612089303326E+08,  7.536453074586720E+08, -5.647690539857447E+06, -1.308477911369148E+01,  2.561404858462765E+00,  2.826212546130713E-01,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000,  1.126304954650424E+08,  7.538657473346446E+08, -5.623267534438908E+06, -1.308812143057837E+01,  2.540656482395483E+00,  2.827143120793624E-01,
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000,  1.114996593447348E+08,  7.540845006394266E+08, -5.598830475389004E+06, -1.308996106884206E+01,  2.523631179334913E+00,  2.829589036564405E-01,
