            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000,  1.556435543994147E+08,  1.533986131982529E+08, -6.211627136680633E+05, -1.607986650523056E+01,  1.931740746582823E+01,  8.005334101753530E-01,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000,  1.542468942714487E+08,  1.550603364737360E+08, -5.519682651491016E+05, -1.624990274518836E+01,  1.914817568259095E+01,  8.011770100887805E-01,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000,  1.528356277117916E+08,  1.567073780031193E+08, -4.827215536767840E+05, -1.641797689397809E+01,  1.897755646516930E+01,  8.017432334263281E-01,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000,  1.514099246071644E+08,  1.583396190045985E+08, -4.134292510483414E+05, -1.658408066198368E+01,  1.880557513478286E+01,  8.022324115403263E-01,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000,  1.499699555456804E+08,  1.599569428829775E+08, -3.440980004913807E+05, -1.674820610610471E+01,  1.863225695353726E+01,  8.026448756029696E-01,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000,  1.485158917859011E+08,  1.615592352257802E+08, -2.747344160394371E+05, -1.691034563110194E+01,  1.845762714090552E+01,  8.029809594896546E-01,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000,  1.470479052262447E+08,  1.631463837988130E+08, -2.053450819415599E+05, -1.707049199689148E+01,  1.828171088571244E+01,  8.032410059897606E-01,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000,  1.455661683745457E+08,  1.647182785411891E+08, -1.359365520112514E+05, -1.722863831956962E+01,  1.810453333451838E+01,  8.034253692137296E-01,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000,  1.440708543177985E+08,  1.662748115599911E+08, -6.651534892114997E+04, -1.738477806879062E+01,  1.792611956760319E+01,  8.035344143356706E-01,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000,  1.425621366923066E+08,  1.678158771246333E+08,  2.912036461636424E+03, -1.753890506727994E+01,  1.774649458095235E+01,  8.035685182188121E-01,
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000,  1.410401896543482E+08,  1.693413716607637E+08,  7.233914564283192E+04, -1.769101348414963E+01,  1.756568328086306E+01,  8.035280675705909E-01,
2443387.500000000, A.D. 1977-Sep-01 00:00:00.0000,  1.395051878512483E+08,  1.708511937435906E+08,  1.417595530155823E+05, -1.784109781473363E+01,  1.738371048843349E+01,  8.034134512441984E-01,
2443388.500000000, A.D. 1977-Sep-02 00:00:00.0000,  1.379573063927027E+08,  1.723452440907905E+08,  2.111668664003909E+05, -1.798915286246786E+01,  1.720060094836471E+01,  8.032250539215475E-01,
