            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000,  2.219670698113584E+07, -6.296434609709625E+07, -7.180238419056300E+06,  3.618308116661785E+01,  1.867326369822376E+01, -1.798308429543487E+00,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000,  2.528463783672084E+07, -6.124814485805386E+07, -7.323698681014314E+06,  3.527382291219050E+01,  2.105122880742974E+01, -1.520615712003646E+00,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000,  2.828799130596207E+07, -5.932718379529480E+07, -7.442670494221468E+06,  3.422454568353837E+01,  2.341215722397679E+01, -1.231454446717104E+00,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000,  3.119447770141328E+07, -5.720318234776191E+07, -7.536165546205115E+06,  3.303075892596108E+01,  2.575020460789525E+01, -9.308894572032003E-01,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000,  3.399140814312112E+07, -5.487839641579849E+07, -7.603202668966755E+06,  3.168771828955886E+01,  2.805877986375144E+01, -6.190232379663545E-01,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000,  3.666567428435310E+07, -5.235568752509731E+07, -7.642811624883413E+06,  3.019046616672895E+01,  3.033043590860346E+01, -2.960085975148790E-01,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000,  3.920373217474188E+07, -4.963860188047329E+07, -7.654038080208395E+06,  2.853388752372538E+01,  3.255674992883215E+01,  3.793643563312799E-02,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000,  4.159159174701966E+07, -4.673146022287445E+07, -7.635949977255059E+06,  2.671278496395935E+01,  3.472819308224236E+01,  3.825110787555950E-01,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000,  4.381481378712115E+07, -4.363945938351654E+07, -7.587645549064305E+06,  2.472197774875806E+01,  3.683399017898549E+01,  7.373112420995689E-01,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000,  4.585851669279550E+07, -4.036878634877634E+07, -7.508263254705921E+06,  2.255643037074775E+01,  3.886197071582369E+01,  1.101805555800864E+00,
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000,  4.770739584879176E+07, -3.692674548221477E+07, -7.396993947730830E+06,  2.021141719357242E+01,  4.079841382688443E+01,  1.475307587632672E+00,
2443387.500000000, A.D. 1977-Sep-01 00:00:00.0000,  4.934575904901209E+07, -3.332189926157666E+07, -7.253095622048784E+06,  1.768273057783463E+01,  4.262789135023012E+01,  1.856943913050065E+00,
2443388.500000000, A.D. 1977-Sep-02 00:00:00.0000,  5.075758207255109E+07, -2.956422243535785E+07, -7.075911104626024E+06,  1.496694070264816E+01,  4.433311540625125E+01,  2.245617805865990E+00,
2443389.500000000, A.D. 1977-Sep-03 00:00:00.0000,  5.192658925457364E+07, -2.566526883201256E+07, -6.864889076976374E+06,  1.206171580037625E+01,  4.589479975882256E+01,  2.639968505983070E+00,
