            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000,  1.282795937232177E+08, -8.012369181711881E+07,  1.213607176017016E+04,  1.598102636936144E+01,  2.446887730901160E+01,  8.284888485824027E-02,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000,  1.296489684861318E+08, -7.799007985308027E+07,  1.877158368534222E+04,  1.570901153335102E+01,  2.492568181920450E+01,  6.997603628489912E-02,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000,  1.309925060938772E+08, -7.581577869588116E+07,  2.410541645903885E+04,  1.538138068760289E+01,  2.540861408860913E+01,  5.286064317185968E-02,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000,  1.323050465843039E+08, -7.359912486086239E+07,  2.781285582647100E+04,  1.499053833694852E+01,  2.590351083963068E+01,  3.252391628655005E-02,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000,  1.335809460683218E+08, -7.133977037918562E+07,  2.967004010394961E+04,  1.453301467009407E+01,  2.639427747208747E+01,  1.026586244103278E-02,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000,  1.348144634222795E+08, -6.903879384241089E+07,  2.957396762209386E+04,  1.401009694600120E+01,  2.686424161979155E+01, -1.243634858169429E-02,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000,  1.360001802813416E+08, -6.669868072981889E+07,  2.755195930230245E+04,  1.342793003154043E+01,  2.729779425656908E+01, -3.406912869534473E-02,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000,  1.371333998097042E+08, -6.432315890574640E+07,  2.375790969320387E+04,  1.279690763658266E+01,  2.768204138648574E+01, -5.324277408243994E-02,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000,  1.382104620656909E+08, -6.191690499448492E+07,  1.845506420635432E+04,  1.213037623829922E+01,  2.800807478602254E+01, -6.883657903744655E-02,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000,  1.392289270189088E+08, -5.948516999495377E+07,  1.198825504202023E+04,  1.144293307001176E+01,  2.827153143231166E+01, -8.009259678284764E-02,
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000,  1.401876086687370E+08, -5.703339171765745E+07,  4.751050914429128E+03,  1.074875724919359E+01,  2.847234830213453E+01, -8.663843160251083E-02,
2443387.500000000, A.D. 1977-Sep-01 00:00:00.0000,  1.410864811581466E+08, -5.456685728605580E+07, -2.846122984677553E+03,  1.006036678192502E+01,  2.861389861122207E+01, -8.844499723063137E-02,
2443388.500000000, A.D. 1977-Sep-02 00:00:00.0000,  1.419265034568406E+08, -5.209045458302087E+07, -1.040228825649247E+04,  9.387986719911776E+00,  2.870185900309345E+01, -8.574482949756224E-02,
2443389.500000000, A.D. 1977-Sep-03 00:00:00.0000,  1.427094148774620E+08, -4.960852062988763E+07, -1.754457418644056E+04,  8.739482706172712E+00,  2.874314646425358E+01, -7.894164262179793E-02,
2443390.500000000, A.D. 1977-Sep-04 00:00:00.0000,  1.434375427424548E+08, -4.712477060955281E+07, -2.393957010921091E+04,  8.120671808026076E+00,  2.874513717506363E+01, -6.853451918783726E-02,
2443391.500000000, A.D. 1977-Sep-05 00:00:00.0000,  1.441136452610061E+08, -4.464227935126218E+07, -2.929921570781805E+04,  7.535792508136352E+00,  2.871523413422929E+01, -5.506825315340436E-02,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000,  1.447407953002783E+08, -4.216348613998920E+07, -3.338361277162097E+04,  6.987956966331159E+00,  2.866074824476644E+01, -3.911139003196951E-02,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000,  1.453222980821114E+08, -3.969019919878741E+07, -3.600299414201453E+04,  6.479469422470461E+00,  2.858900896449497E+01, -2.125767655041244E-02,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000,  1.458616280853376E+08, -3.722358421970955E+07, -3.702058663354628E+04,  6.011944556381620E+00,  2.850760613885983E+01, -2.144039378288554E-03,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000,  1.463623662726150E+08, -3.476413000844089E+07, -3.635745156844892E+04,  5.586193583938997E+00,  2.842466035587267E+01,  1.752308355416687E-02,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000,  1.468281172030231E+08, -3.231159348879815E+07, -3.399961935768649E+04,  5.201874771349673E+00,  2.834901084745894E+01,  3.694275107674372E-02,
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000,  1.472623869125098E+08, -2.986493642324902E+07, -3.000690883341059E+04,  4.856945489723923E+00,  2.829019822440389E+01,  5.520765205729283E-02,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000,  1.476684082257322E+08, -2.742227693304712E+07, -2.452172671100311E+04,  4.547016656675916E+00,  2.825812078759148E+01,  7.131865022958372E-02,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000,  1.480489123340743E+08, -2.498088793219787E+07, -1.777503481921554E+04,  4.264791373966634E+00,  2.826228600852061E+01,  8.423728784412710E-02,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000,  1.484058642269050E+08, -2.253727721821899E+07, -1.008596505197044E+04,  3.999832475333143E+00,  2.831068604069972E+01,  9.297988946477354E-02,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000,  1.487402008714416E+08, -2.008737477756698E+07, -1.851835821523331E+03,  3.738889714820302E+00,  2.840848578269557E+01,  9.674241312917964E-02,
2443402.500000000, A.D. 1977-Sep-16 00:00:00.0000,  1.490516260569372E+08, -1.762682990220932E+07,  6.473023021792062E+03,  3.466882935538488E+00,  2.855685543030739E+01,  9.502908983443348E-02,
2443403.500000000, A.D. 1977-Sep-17 00:00:00.0000,  1.493385146970194E+08, -1.515138970723773E+07,  1.440845504560042E+04,  3.168410990959773E+00,  2.875230677820160E+01,  8.774972856425656E-02,
2443404.500000000, A.D. 1977-Sep-18 00:00:00.0000,  1.495979586080596E+08, -1.265730451606725E+07,  2.148564923062548E+04,  2.829451228396883E+00,  2.898675225142749E+01,  7.525778422976259E-02,
2443405.500000000, A.D. 1977-Sep-19 00:00:00.0000,  1.498259529749801E+08, -1.014169697499453E+07,  2.728468115550140E+04,  2.438856423150170E+00,  2.924826041054023E+01,  5.832152292513371E-02,
2443406.500000000, A.D. 1977-Sep-20 00:00:00.0000,  1.500176928010523E+08, -7.602843767340040E+06,  3.146710786521481E+04,  1.989374341451449E+00,  2.952227440785067E+01,  3.804196334829868E-02,
2443407.500000000, A.D. 1977-Sep-21 00:00:00.0000,  1.501679334852988E+08, -5.040342839845916E+06,  3.380004298986355E+04,  1.478116198244269E+00,  2.979299760243445E+01,  1.574188918850794E-02,
2443408.500000000, A.D. 1977-Sep-22 00:00:00.0000,  1.502713706488696E+08, -2.455162092641617E+06,  3.417020185304561E+04,  9.065541742512265E-01,  3.004472518410939E+01, -7.152460454518561E-03,
2443409.500000000, A.D. 1977-Sep-23 00:00:00.0000,  1.503230039185607E+08,  1.504205962474097E+05,  3.258788261415331E+04,  2.801712962024001E-01,  3.026301920538047E+01, -2.922478603655421E-02,
2443410.500000000, A.D. 1977-Sep-24 00:00:00.0000,  1.503184586891732E+08,  2.772970949066918E+06,  2.918154915102210E+04, -3.921519087805178E-01,  3.043569734035203E+01, -4.917237704844979E-02,
2443411.500000000, A.D. 1977-Sep-25 00:00:00.0000,  1.502542449336993E+08,  5.408128316301529E+06,  2.418400118688983E+04, -1.098976993839100E+00,  3.055360608398315E+01, -6.589639365293820E-02,
2443412.500000000, A.D. 1977-Sep-26 00:00:00.0000,  1.501279349071917E+08,  8.050890940490022E+06,  1.791155551642505E+04, -1.827335991273397E+00,  3.061111245451593E+01, -7.857189610369453E-02,
2443413.500000000, A.D. 1977-Sep-27 00:00:00.0000,  1.499382468441204E+08,  1.069592857145725E+07,  1.073839355938602E+04, -2.563858158232203E+00,  3.060623378727886E+01, -8.668813653230245E-02,
2443414.500000000, A.D. 1977-Sep-28 00:00:00.0000,  1.496850324274059E+08,  1.333788907791068E+07,  3.068989649088122E+03, -3.295841600742544E+00,  3.054036985071417E+01, -9.005203598302636E-02,
2443415.500000000, A.D. 1977-Sep-29 00:00:00.0000,  1.493691803279306E+08,  1.597166639484708E+07, -4.688159829939716E+03, -4.012098025230812E+00,  3.041769353221060E+01, -8.875551226852529E-02,
2443416.500000000, A.D. 1977-Sep-30 00:00:00.0000,  1.489924612351252E+08,  1.859260609898049E+07, -1.214275168963801E+04, -4.703449542619448E+00,  3.024434591020421E+01, -8.311657847953491E-02,
2443417.500000000, A.D. 1977-Oct-01 00:00:00.0000,  1.485573462395789E+08,  2.119663963785158E+07, -1.893922928217892E+04, -5.362853414977947E+00,  3.002761996329362E+01, -7.360999767450416E-02,
2443418.500000000, A.D. 1977-Oct-02 00:00:00.0000,  1.480668282242463E+08,  2.378035344262153E+07, -2.476747598494403E+04, -5.985225622260816E+00,  2.977529095576398E+01, -6.080334140805022E-02,
2443419.500000000, A.D. 1977-Oct-03 00:00:00.0000,  1.475242670467242E+08,  2.634101006241971E+07, -2.936864503890835E+04, -6.567089646055003E+00,  2.949518417471547E+01, -4.530970535969736E-02,
2443420.500000000, A.D. 1977-Oct-04 00:00:00.0000,  1.469332676977696E+08,  2.887654308519540E+07, -3.253782590175793E+04, -7.106185651439990E+00,  2.919499820241346E+01, -2.776210608154450E-02,
2443421.500000000, A.D. 1977-Oct-05 00:00:00.0000,  1.462975897385682E+08,  3.138554668700907E+07, -3.412543925303593E+04, -7.601153646774003E+00,  2.888234819339332E+01, -8.809256438555124E-03,
2443422.500000000, A.D. 1977-Oct-06 00:00:00.0000,  1.456210778202999E+08,  3.386727609650242E+07, -3.403906114887446E+04, -8.051373755152662E+00,  2.856496240021559E+01,  1.087113397678152E-02,
