            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000, -1.131718995613235E+09, -4.385952546210077E+09,  1.163989178515577E+08,  5.213672540059266E+00, -1.327282845572634E+00, -9.274632281115092E-02,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000, -1.131268528927001E+09, -4.386067171845395E+09,  1.163909325086606E+08,  5.213951512033931E+00, -1.326058916349738E+00, -9.216143238982899E-02,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000, -1.130818004661432E+09, -4.386181697312419E+09,  1.163829735559876E+08,  5.214905685299708E+00, -1.325088492038843E+00, -9.219906734589944E-02,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000, -1.130367398802552E+09, -4.386296169061162E+09,  1.163749826046028E+08,  5.215685960273467E+00, -1.324838359441607E+00, -9.283534777938779E-02,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000, -1.129916759937673E+09, -4.386410642575328E+09,  1.163669332322154E+08,  5.215621597518073E+00, -1.325028587564052E+00, -9.342434647913095E-02,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000, -1.129466158820750E+09, -4.386525124825150E+09,  1.163588584006927E+08,  5.214919562792595E+00, -1.324922966282064E+00, -9.336984216104094E-02,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000, -1.129015614879776E+09, -4.386639566992404E+09,  1.163508162360265E+08,  5.214448570231693E+00, -1.324090527857389E+00, -9.274289657800944E-02,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000, -1.128565076073271E+09, -4.386753915193427E+09,  1.163428296763496E+08,  5.214836044220256E+00, -1.322855150578059E+00, -9.220842377866473E-02,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000, -1.128114472901131E+09, -4.386868166412170E+09,  1.163348626514518E+08,  5.215819254375667E+00, -1.321959172615457E+00, -9.233581207115810E-02,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000, -1.127663790583457E+09, -4.386982371671235E+09,  1.163268575292606E+08,  5.216518240696240E+00, -1.321790719864001E+00, -9.300711227787672E-02,
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000, -1.127213084396323E+09, -4.387096583026104E+09,  1.163187949621987E+08,  5.216347266319216E+00, -1.321983328698738E+00, -9.353955131657798E-02,
2443387.500000000, A.D. 1977-Sep-01 00:00:00.0000, -1.126762422319132E+09, -4.387210799560112E+09,  1.163107139766126E+08,  5.215625501239954E+00, -1.321797593790201E+00, -9.339589655252489E-02,
2443388.500000000, A.D. 1977-Sep-02 00:00:00.0000, -1.126311814413942E+09, -4.387324968297244E+09,  1.163026714532804E+08,  5.215244014595338E+00, -1.320885878985147E+00, -9.274049692218894E-02,
2443389.500000000, A.D. 1977-Sep-03 00:00:00.0000, -1.125861202415352E+09, -4.387439039224785E+09,  1.162946830778499E+08,  5.215738410919680E+00, -1.319655753230008E+00, -9.226868428553298E-02,
2443390.500000000, A.D. 1977-Sep-04 00:00:00.0000, -1.125410520187000E+09, -4.387553017205329E+09,  1.162867070453255E+08,  5.216735316682248E+00, -1.318846167078132E+00, -9.248560897354052E-02,
2443391.500000000, A.D. 1977-Sep-05 00:00:00.0000, -1.124959762405465E+09, -4.387666956951818E+09,  1.162786874654241E+08,  5.217339627243359E+00, -1.318757614452317E+00, -9.318063474040239E-02,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000, -1.124508990052186E+09, -4.387780906209867E+09,  1.162706123833022E+08,  5.217062233882468E+00, -1.318941989264698E+00, -9.364606519513419E-02,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000, -1.124058267147058E+09, -4.387894856226831E+09,  1.162625261979439E+08,  5.216330933148143E+00, -1.318668427709022E+00, -9.341335865502615E-02,
