            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000, -4.222332101148230E+09, -1.067533122136882E+09,  1.335508340938190E+09,  2.052750343176417E+00, -5.609352210252094E+00,  2.458327835113039E-02,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000, -4.222153982808590E+09, -1.068017201666911E+09,  1.335510074061785E+09,  2.069821756782737E+00, -5.598602016263761E+00,  1.261106506242893E-02,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000, -4.221974735820173E+09, -1.068501060030328E+09,  1.335510242357385E+09,  2.076818394073220E+00, -5.604633080309912E+00, -8.694662692319444E-03,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000, -4.221795580471251E+09, -1.068986018420401E+09,  1.335508855309448E+09,  2.067959629278993E+00, -5.621959727107340E+00, -2.046933987329203E-02,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000, -4.221617615492128E+09, -1.069472408068297E+09,  1.335507296928577E+09,  2.051604348570552E+00, -5.635032563111656E+00, -1.236300831633619E-02,
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000, -4.221440838828571E+09, -1.069959275635466E+09,  1.335507091326816E+09,  2.042789991437994E+00, -5.632097291050822E+00,  8.253971332634613E-03,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000, -4.221264149238622E+09, -1.070445232832309E+09,  1.335508544027318E+09,  2.049839474086439E+00, -5.615667386971308E+00,  2.284936228900181E-02,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000, -4.221086327920667E+09, -1.070929694740855E+09,  1.335510468316304E+09,  2.066922659186190E+00, -5.600305646412028E+00,  1.824730595879309E-02,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000, -4.220907126694784E+09, -1.071413402689523E+09,  1.335511243758674E+09,  2.079245667612619E+00, -5.599627494654341E+00, -1.588632446978711E-03,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000, -4.220727489548855E+09, -1.071897762292137E+09,  1.335510263052017E+09,  2.076271681683059E+00, -5.614134087338600E+00, -1.909877276622929E-02,
2443402.500000000, A.D. 1977-Sep-16 00:00:00.0000, -4.220548709498175E+09, -1.072383588885115E+09,  1.335508473044261E+09,  2.061115304485435E+00, -5.630785792717063E+00, -1.881560043788033E-02,
2443403.500000000, A.D. 1977-Sep-17 00:00:00.0000, -4.220371275654727E+09, -1.072870381201291E+09,  1.335507529399059E+09,  2.047745778241657E+00, -5.634639367765885E+00, -1.137771479791994E-03,
2443404.500000000, A.D. 1977-Sep-18 00:00:00.0000, -4.220194437366532E+09, -1.073356768330808E+09,  1.335508320778466E+09,  2.048544485204494E+00, -5.622155548125708E+00,  1.802892572225723E-02,
2443405.500000000, A.D. 1977-Sep-19 00:00:00.0000, -4.220016872891351E+09, -1.073841731884331E+09,  1.335510175697006E+09,  2.063261987086666E+00, -5.604370631128221E+00,  2.143406655067714E-02,
2443406.500000000, A.D. 1977-Sep-20 00:00:00.0000, -4.219837868818787E+09, -1.074325515435491E+09,  1.335511460587927E+09,  2.079218595103210E+00, -5.597063468141032E+00,  5.889973287750649E-03,
2443407.500000000, A.D. 1977-Sep-21 00:00:00.0000, -4.219657957300377E+09, -1.074809407394529E+09,  1.335511038251953E+09,  2.082630398265299E+00, -5.606654743297311E+00, -1.487067285744326E-02,
2443408.500000000, A.D. 1977-Sep-22 00:00:00.0000, -4.219478440414751E+09, -1.075294590546412E+09,  1.335509282517456E+09,  2.070917380463012E+00, -5.624484574221791E+00, -2.247458465987329E-02,
2443409.500000000, A.D. 1977-Sep-23 00:00:00.0000, -4.219300228423728E+09, -1.075781087487539E+09,  1.335507743530618E+09,  2.054982428747017E+00, -5.634557828196506E+00, -1.029104207035347E-02,
