            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000, -1.067068545608821E+09,  8.642788453459451E+08,  2.729403227722192E+07, -6.612087212629899E+00, -7.533009481749348E+00,  3.947795244683610E-01,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000, -1.067639613073625E+09,  8.636278438911493E+08,  2.732812613606155E+07, -6.607110121428217E+00, -7.536461408653439E+00,  3.944305638399492E-01,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000, -1.068210258694634E+09,  8.629765428828667E+08,  2.736219140954059E+07, -6.602272605422325E+00, -7.539951708458444E+00,  3.941178169275603E-01,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000, -1.068780488851336E+09,  8.623249447216812E+08,  2.739622767001534E+07, -6.597557721119583E+00, -7.543325970924989E+00,  3.937574332381710E-01,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000, -1.069350322820293E+09,  8.616730524542087E+08,  2.743023532845008E+07, -6.593051350805053E+00, -7.546784109076870E+00,  3.934639302871727E-01,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000, -1.069919772077084E+09,  8.610208597400727E+08,  2.746421897060251E+07, -6.588680114283844E+00, -7.550282782550965E+00,  3.932048639458485E-01,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000, -1.070488851037878E+09,  8.603683583291680E+08,  2.749818436476934E+07, -6.584453110973964E+00, -7.553951809131492E+00,  3.930505102919013E-01,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000, -1.071057565621339E+09,  8.597155312050538E+08,  2.753214103377461E+07, -6.580232280369894E+00, -7.557825877291148E+00,  3.930034969896994E-01,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000, -1.071625909359792E+09,  8.590623612877300E+08,  2.756609735642427E+07, -6.575847985792471E+00, -7.561839688480755E+00,  3.930157228790008E-01,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000, -1.072193874177239E+09,  8.584088443382100E+08,  2.760005483326560E+07, -6.571489717074972E+00, -7.565911906572352E+00,  3.930609505069116E-01,
