            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000, -2.083012188786033E+09, -1.841955068115257E+09,  2.018992778721333E+07,  4.447860450650475E+00, -5.418331265514674E+00, -7.741663212423666E-02,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000, -2.082627838154601E+09, -1.842423173272320E+09,  2.018322967686689E+07,  4.449061581628107E+00, -5.417419270135079E+00, -7.764091000415485E-02,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000, -2.082243397348598E+09, -1.842891195336093E+09,  2.017652112743819E+07,  4.450077248725141E+00, -5.416427215178502E+00, -7.758938234838531E-02,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000, -2.081858855805908E+09, -1.843359134481982E+09,  2.016981766339171E+07,  4.451325145516419E+00, -5.415501074098266E+00, -7.764762033945027E-02,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000, -2.081474216518702E+09, -1.843826992188392E+09,  2.016310382044387E+07,  4.452352877439925E+00, -5.414529934853509E+00, -7.772245126854216E-02,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000, -2.081089484107177E+09, -1.844294765899742E+09,  2.015639041916835E+07,  4.453523806403697E+00, -5.413578108697516E+00, -7.771498537241883E-02,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000, -2.080704654016582E+09, -1.844762458089486E+09,  2.014966683909678E+07,  4.454498464535680E+00, -5.412607730258943E+00, -7.789170252649025E-02,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000, -2.080319746139538E+09, -1.845230062651256E+09,  2.014294554813683E+07,  4.455491844675672E+00, -5.411584030032099E+00, -7.765092230271331E-02,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000, -2.079934732704419E+09, -1.845697583506738E+09,  2.013624191580987E+07,  4.456861921027676E+00, -5.410672266724355E+00, -7.761692314943103E-02,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000, -2.079549611461958E+09, -1.846165025252515E+09,  2.012952659314144E+07,  4.457933121984700E+00, -5.409721457516095E+00, -7.778012425197445E-02,
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000, -2.079164397489497E+09, -1.846632383551354E+09,  2.012280710897064E+07,  4.459085676146406E+00, -5.408767561713464E+00, -7.779385100429415E-02,
2443387.500000000, A.D. 1977-Sep-01 00:00:00.0000, -2.078779085304928E+09, -1.847099660309472E+09,  2.011607817597318E+07,  4.460125299069235E+00, -5.407811643968174E+00, -7.796386545331169E-02,
2443388.500000000, A.D. 1977-Sep-02 00:00:00.0000, -2.078393690490547E+09, -1.847566851450583E+09,  2.010934448131001E+07,  4.461112618716069E+00, -5.406805880964900E+00, -7.786224187492574E-02,
2443389.500000000, A.D. 1977-Sep-03 00:00:00.0000, -2.078008196702730E+09, -1.848033959222035E+09,  2.010261571589243E+07,  4.462312869476322E+00, -5.405874919702854E+00, -7.797008086136303E-02,
2443390.500000000, A.D. 1977-Sep-04 00:00:00.0000, -2.077622615785421E+09, -1.848500983662507E+09,  2.009587264759696E+07,  4.463134609537740E+00, -5.404855905787777E+00, -7.803828117406164E-02,
2443391.500000000, A.D. 1977-Sep-05 00:00:00.0000, -2.077236959005339E+09, -1.848967918260322E+09,  2.008914387157607E+07,  4.464202990517396E+00, -5.403837271967048E+00, -7.772128619372776E-02,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000, -2.076851196786765E+09, -1.849434769170763E+09,  2.008243181136072E+07,  4.465436786901261E+00, -5.402891734791199E+00, -7.767604725859178E-02,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000, -2.076465332486547E+09, -1.849901537255175E+09,  2.007572513300836E+07,  4.466645485795906E+00, -5.401931484567532E+00, -7.756254325354450E-02,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000, -2.076079354957602E+09, -1.850368225151448E+09,  2.006902217262232E+07,  4.467998680906256E+00, -5.401034954919227E+00, -7.767401611292413E-02,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000, -2.075693275310457E+09, -1.850834833455466E+09,  2.006230113646352E+07,  4.468994416482008E+00, -5.400065200037903E+00, -7.782696930481481E-02,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000, -2.075307103996555E+09, -1.851301357249625E+09,  2.005558121047699E+07,  4.470217037171713E+00, -5.399115072026657E+00, -7.776568491490088E-02,
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000, -2.074920823099873E+09, -1.851767802071356E+09,  2.004885076709473E+07,  4.471387787067892E+00, -5.398206242438166E+00, -7.807606453817639E-02,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000, -2.074534460134834E+09, -1.852234163475266E+09,  2.004209812404549E+07,  4.472218367361286E+00, -5.397189706866026E+00, -7.815136145190449E-02,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000, -2.074148016074511E+09, -1.852700437787034E+09,  2.003534811026859E+07,  4.473247229946452E+00, -5.396201435528342E+00, -7.812637048733295E-02,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000, -2.073761487108385E+09, -1.853166626066354E+09,  2.002859908798552E+07,  4.474174286874522E+00, -5.395184417678188E+00, -7.805124195156310E-02,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000, -2.073374869198719E+09, -1.853632726834948E+09,  2.002186778908312E+07,  4.475398858403844E+00, -5.394209604387588E+00, -7.780692090205554E-02,
2443402.500000000, A.D. 1977-Sep-16 00:00:00.0000, -2.072988139427258E+09, -1.854098747161553E+09,  2.001513947289026E+07,  4.476595781264063E+00, -5.393283815174067E+00, -7.796623088473464E-02,
