            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000,  6.310500594730432E+07,  8.766254195713335E+07, -2.450930839667998E+06, -2.853359953098301E+01,  2.030708317693063E+01,  1.923825083270438E+00,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000,  6.061523698655671E+07,  8.938240909327404E+07, -2.283771348360963E+06, -2.909621954377862E+01,  1.950197447854768E+01,  1.945356209693278E+00,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000,  5.807782900042605E+07,  9.103202872408754E+07, -2.114816988440942E+06, -2.963627796084711E+01,  1.868108767235650E+01,  1.965369951314339E+00,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000,  5.549475096717386E+07,  9.261006481777793E+07, -1.944199626865458E+06, -3.015332264552711E+01,  1.784505460623278E+01,  1.983848798936497E+00,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000,  5.286801017876187E+07,  9.411523652218296E+07, -1.772052592028983E+06, -3.064691891679368E+01,  1.699452066079275E+01,  2.000776435381696E+00,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000,  5.019965071379831E+07,  9.554631931359895E+07, -1.598510569959823E+06, -3.111664998445941E+01,  1.613014427446186E+01,  2.016137754155761E+00,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000,  4.749175187340816E+07,  9.690214610389540E+07, -1.423709498943627E+06, -3.156211737210809E+01,  1.525259645292442E+01,  2.029918877192081E+00,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000,  4.474642658111532E+07,  9.818160830458099E+07, -1.247786462655053E+06, -3.198294132710971E+01,  1.436256026323474E+01,  2.042107171640441E+00,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000,  4.196581974788073E+07,  9.938365684650949E+07, -1.070879581881166E+06, -3.237876121707517E+01,  1.346073031290024E+01,  2.052691265668160E+00,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000,  3.915210660349542E+07,  1.005073031539411E+08, -8.931279049235582E+05, -3.274923591211802E+01,  1.254781221427678E+01,  2.061661063241575E+00,
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000,  3.630749099558163E+07,  1.015516200717065E+08, -7.146712967684269E+05, -3.309404415230058E+01,  1.162452203464639E+01,  2.069007757857036E+00,
2443387.500000000, A.D. 1977-Sep-01 00:00:00.0000,  3.343420365750898E+07,  1.025157427442533E+08, -5.356503271168619E+05, -3.341288489965073E+01,  1.069158573237753E+01,  2.074723845191353E+00,
2443388.500000000, A.D. 1977-Sep-02 00:00:00.0000,  3.053450044658440E+07,  1.033988694453908E+08, -3.562061573696807E+05, -3.370547767414580E+01,  9.749738579598278E+00,  2.078803134642834E+00,
2443389.500000000, A.D. 1977-Sep-03 00:00:00.0000,  2.761066055392736E+07,  1.042002623575875E+08, -1.764804266643003E+05, -3.397156287306903E+01,  8.799724571843115E+00,  2.081240759734883E+00,
2443390.500000000, A.D. 1977-Sep-04 00:00:00.0000,  2.466498468749196E+07,  1.049192482997175E+08,  3.384862937428057E+03, -3.421090207315414E+01,  7.842295825164022E+00,  2.082033187355235E+00,
2443391.500000000, A.D. 1977-Sep-05 00:00:00.0000,  2.169979322974804E+07,  1.055552194021935E+08,  1.832474620081037E+05, -3.442327831494310E+01,  6.878211961227505E+00,  2.081178225804918E+00,
