            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000,  1.448005439108036E+08, -4.220149282221936E+07,  2.559845101304352E+04,  1.157190972543096E+01,  3.813748393606272E+01,  7.305166962567302E-01,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000,  1.457774659041131E+08, -3.890447404345292E+07,  8.813240025025606E+04,  1.105544524349501E+01,  3.820584779979036E+01,  7.217690473000076E-01,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000,  1.467113657392170E+08, -3.559864146673304E+07,  1.504316953099817E+05,  1.056304274513793E+01,  3.831825553041645E+01,  7.204696901113046E-01,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000,  1.476027733072681E+08, -3.228322012658216E+07,  2.126376849685721E+05,  1.007131499410993E+01,  3.842628809678928E+01,  7.194923282565373E-01,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000,  1.484516689223975E+08, -2.895884343348525E+07,  2.747587581364233E+05,  9.578921754384337E+00,  3.852521440249582E+01,  7.184789295389944E-01,
2443397.500000000, A.D. 1977-Sep-11 00:00:00.0000,  1.492579919564038E+08, -2.562636217889324E+07,  3.367871328715533E+05,  9.085875696230941E+00,  3.861377689919976E+01,  7.173382627198990E-01,
2443398.500000000, A.D. 1977-Sep-12 00:00:00.0000,  1.500216981987503E+08, -2.228669491710554E+07,  3.987101896034116E+05,  8.592483567928792E+00,  3.869150967839339E+01,  7.160377354046901E-01,
2443399.500000000, A.D. 1977-Sep-13 00:00:00.0000,  1.507427746134004E+08, -1.894078677181476E+07,  4.605134616137156E+05,  8.099144391457411E+00,  3.875822331345123E+01,  7.145641246520977E-01,
2443400.500000000, A.D. 1977-Sep-14 00:00:00.0000,  1.514218884794828E+08, -1.558919732823925E+07,  5.221384003527863E+05,  7.618830956944715E+00,  3.882156056507059E+01,  7.120687694184245E-01,
2443401.500000000, A.D. 1977-Sep-15 00:00:00.0000,  1.520588962431421E+08, -1.223300995660068E+07,  5.835833379751737E+05,  7.126911892364907E+00,  3.886612025870515E+01,  7.102379525094182E-01,
2443402.500000000, A.D. 1977-Sep-16 00:00:00.0000,  1.526534585344302E+08, -8.873448927189378E+06,  6.448623935584715E+05,  6.636370405572300E+00,  3.889966799923611E+01,  7.082292300746289E-01,
2443403.500000000, A.D. 1977-Sep-17 00:00:00.0000,  1.532057133331712E+08, -5.511461672101995E+06,  7.059602972506064E+05,  6.147644016891371E+00,  3.892230197070075E+01,  7.060451330937525E-01,
2443404.500000000, A.D. 1977-Sep-18 00:00:00.0000,  1.537158360373664E+08, -2.147985776482024E+06,  7.668620414559578E+05,  5.661160866673696E+00,  3.893415105942843E+01,  7.036891454930387E-01,
2443405.500000000, A.D. 1977-Sep-19 00:00:00.0000,  1.541840385355946E+08,  1.216053476037146E+06,  8.275529508322609E+05,  5.177337135300101E+00,  3.893537054267969E+01,  7.011654404243295E-01,
2443406.500000000, A.D. 1977-Sep-20 00:00:00.0000,  1.546105680857747E+08,  4.579745243406277E+06,  8.880187341549725E+05,  4.696575089965909E+00,  3.892613898657543E+01,  6.984787139626238E-01,
2443407.500000000, A.D. 1977-Sep-21 00:00:00.0000,  1.549957060438611E+08,  7.942195027389385E+06,  9.482455243225591E+05,  4.219261539613493E+00,  3.890665577772159E+01,  6.956340718512983E-01,
2443408.500000000, A.D. 1977-Sep-22 00:00:00.0000,  1.553397664724554E+08,  1.130252637894914E+07,  1.008219910007189E+06,  3.745766586589995E+00,  3.887713900087736E+01,  6.926369466433719E-01,
2443409.500000000, A.D. 1977-Sep-23 00:00:00.0000,  1.556430946520966E+08,  1.465988242953474E+07,  1.067928961000226E+06,  3.276442614998002E+00,  3.883782351412146E+01,  6.894930331635347E-01,
2443410.500000000, A.D. 1977-Sep-24 00:00:00.0000,  1.559060655140494E+08,  1.801342726163626E+07,  1.127360248517642E+06,  2.811623480700118E+00,  3.878895914384617E+01,  6.862082355428427E-01,
2443411.500000000, A.D. 1977-Sep-25 00:00:00.0000,  1.561290820110078E+08,  2.136234712703947E+07,  1.186501861283492E+06,  2.351623880822335E+00,  3.873080895963405E+01,  6.827886219614374E-01,
2443412.500000000, A.D. 1977-Sep-26 00:00:00.0000,  1.563125734404724E+08,  2.470585151872627E+07,  1.245342417949639E+06,  1.896738887119044E+00,  3.866364760971727E+01,  6.792403848258779E-01,
2443413.500000000, A.D. 1977-Sep-27 00:00:00.0000,  1.564569937344638E+08,  2.804317410127992E+07,  1.303871076259239E+06,  1.447243630792662E+00,  3.858775970930625E+01,  6.755698050266883E-01,
2443414.500000000, A.D. 1977-Sep-28 00:00:00.0000,  1.565628197281405E+08,  3.137357350425732E+07,  1.362077539267082E+06,  1.003393127959868E+00,  3.850343828044832E+01,  6.717832194560298E-01,
2443415.500000000, A.D. 1977-Sep-29 00:00:00.0000,  1.566305494190486E+08,  3.469633398306155E+07,  1.419952058875613E+06,  5.654222355903937E-01,  3.841098324556351E+01,  6.678869912871015E-01,
2443416.500000000, A.D. 1977-Sep-30 00:00:00.0000,  1.566607002278423E+08,  3.801076595210827E+07,  1.477485436910830E+06,  1.335457279625930E-01,  3.831069997850111E+01,  6.638874827078833E-01,
2443417.500000000, A.D. 1977-Oct-01 00:00:00.0000,  1.566538072704394E+08,  4.131620639544452E+07,  1.534669023940476E+06, -2.920415174455777E-01,  3.820289791684063E+01,  6.597910298679786E-01,
2443418.500000000, A.D. 1977-Oct-02 00:00:00.0000,  1.566104216505153E+08,  4.461201916019890E+07,  1.591494716013862E+06, -7.111642343817703E-01,  3.808788924004657E+01,  6.556039199252961E-01,
2443419.500000000, A.D. 1977-Oct-03 00:00:00.0000,  1.565311087810929E+08,  4.789759513912764E+07,  1.647954949527305E+06, -1.123666384401932E+00,  3.796598762219811E+01,  6.513323703708576E-01,
2443420.500000000, A.D. 1977-Oct-04 00:00:00.0000,  1.564164467424488E+08,  5.117235234831214E+07,  1.704042694365252E+06, -1.529410699681620E+00,  3.783750705425414E+01,  6.469825100417985E-01,
2443421.500000000, A.D. 1977-Oct-05 00:00:00.0000,  1.562670246827727E+08,  5.443573590648536E+07,  1.759751445496611E+06, -1.928278152598563E+00,  3.770276074471959E+01,  6.425603621406175E-01,
2443422.500000000, A.D. 1977-Oct-06 00:00:00.0000,  1.560834412673583E+08,  5.768721792275199E+07,  1.815075213179592E+06, -2.320167364245037E+00,  3.756206009866144E+01,  6.380718290811451E-01,
2443423.500000000, A.D. 1977-Oct-07 00:00:00.0000,  1.558663031812119E+08,  6.092629729952824E+07,  1.870008511934757E+06, -2.704993960932224E+00,  3.741571377631863E+01,  6.335226791016648E-01,
2443424.500000000, A.D. 1977-Oct-08 00:00:00.0000,  1.556162236891810E+08,  6.415249945759711E+07,  1.924546348435346E+06, -3.082689887652252E+00,  3.726402683159489E+01,  6.289185345776005E-01,
